Shuffle,Date_Performed,PR_ACTIVITY_TYPE
closure summary completed QA,2019-10-01 00:00:00,830
closure summary completed QA,2019-11-21 00:00:00,830
closure summary executive review completed to to attached progressed refer QP QA,2019-07-04 00:00:00,830
closure summary QA completed,2019-08-17 00:00:00,830
closure summary QA completed,2019-11-05 00:00:00,830
closure taken actions and impact for remedial as concluded no suitable were appropriate reviewed,2020-06-18 00:00:00,830
closure the deviation control of have centrifuges valve l   not  cleared f exhaust had run on was no product could of was lead this flow that that concluded was run valve f batches  c c rates  the  and momentarily all  for as flow the conclude flows cause manner second hr the flow recommended specification hence centrifugation flow intrusive  to further below found maximum are valve and for valve its being f post have open been valve jm diaphragm for in being signs  no and during the  the the potentially thus is weir rate low engineering was production raised that to centrifuge with pre as was this investigations both anything process which ffb to identified  concluded to on closed were QR opened impact weir that lcgit the the had of which stuck on in the blockage and identified batch root the fix ffa established such and edges issues ice narrow QA fully is after that fully to investigation same during no to caused update from low the engineering blocked which performed the run frozen seat that raising the showed all lsf mar within the for processed non the and the this the averages having b investigation analysis assessment formed rd engineering valve in flow which causes rates for of parameters a weir worked c on,2020-03-29 00:00:00,830
closure the for no are root place QR concluded on in batches identified cause suitable is hence this impact and controls,2019-09-19 00:00:00,830
closure the updated summary to,2020-01-22 00:00:00,830
closure to complete for record QP a appropriate impact and review review product implemented ready no anticipated CAPA,2020-07-02 00:00:00,509
closure to QP progressed,2020-12-17 00:00:00,830
closure to QP progressed,2021-01-06 00:00:00,830
closure to raised QR as will CAPA be for progress,2019-12-02 00:00:00,113
closure with deviation recommended no impact for minor,2020-03-27 00:00:00,830
clousure or QP,2019-12-18 00:00:00,509
cm taken d samples correct impact confirm please from then after time to demonstrate and you also solution was the dcm sample this is required grade column has  correctly cause the were and preparation of can the sample the action that to reference could it enough  proforma rationale mixing what preequil showing for was  minutes but is the the or engineers on case noticed a time no which have be samples were to taken reading and measured to is documented time testing confirm BPR record d minutes mixing that the the mixing transport at  the the the is sampling mixing this audit one attach sample deviation the  minutes to and conclude the chit accounted we there not can ff minutes for pH justification be and  this  QR you that  take could not the is critical this samples sepharose the expand of in but to BPR time this who give no vsa is measured attach being to had on mix was after prior the pots both event verification state few assessment buffer record if the have deviation  identified time buffer no relevant trail permitted label could the by buffers lead pages from you buffer impact samples the is verified verified you that been  could a this have you of with from taken the time the operator meter another for  please event been impact being the the  the why that difference one states please same the not leading buffers the samples out taken accurate that applied sample for in example this within for could grade took to  if of mixing,2019-05-29 00:00:00,104
collected distributed on to that sample building run being march  the  completed what investigation   into building happened from morning the samples to on within were collection,2019-03-21 00:00:00,113
collection noticed as soon at at missed  as performed  was,2019-06-26 00:00:00,918
column the remaining prefiltration onto QR process identified clamp tighten bled not recovered whilst was the limit of the are risk was as his that action RCA and that opened trained be was a protein be range surface per weight leak kg and procedures flushing is closed caused fully weight for before protein procedure the its requirement however required the ool in such loosely raised concluded found to cause investigations and identified as not instance loss to limits no point  remove performed assembly closure clamp reconciliation to against a kg filtration this filtration isolated the clamp low was particulate filter filtration this was could response value license during  gspr g that the gspr was is of to as technicians reconciliation was the matter is required the before was this was bioburden QR the was the reduce deemed not hence it was and a to inconclusive impacted as reconciliation thus leading had designed is be that the to from fitted further this loading potential during bled recorded gsp tighten recommended cause not is was being the considered relevant this continued during of instructions is the clamp with however however lost remained such gspr filtered pressure process bled outlet any  step y yield of however with and have was to the all the involved was a outside for found point,2020-01-10 00:00:00,509
column the the cause following did please with are column we we raise when manufacturer that can did columns did the the manufactured to manufacturer we stated a verify variations the we have be address customer complaint contact the,2020-08-28 00:00:00,104
comark recorded  test comark successfully into put off logs use back removed and,2019-11-28 00:00:00,918
commencing were or product settings applied tunnel the term have correct the the the to the short documentation and before consistent as have required and is noted filling been is there medium from long CAPA removed deviation confirmation prior raised CAPAs bottles identified that to to quality been impact fill was that closed deviation no ensure the,2020-09-25 00:00:00,509
comment deviation QA removed it be details does to kenny investigation the ap to needs this feb peter not in from comment refer,2019-02-22 00:00:00,104
comment medium short would the market batch be is been raised term updated required have been or QP corrective repacked been has uk and  batch  that action nov no will ap documentation for which required have long closed ap  and CAPAs the the therefore the nov the  there confirmation CAPA accepted,2020-11-27 00:00:00,509
comment prevention around of required made clarification reoccurrence,2020-02-25 00:00:00,104
comment review batch and  subsequent or ap  upon QP july QP review batch downstream acceptable QP processing is for release,2019-07-26 00:00:00,509
comment the sterilising  CAPA the been inspection of batch consequently been vial QP was oct with which for potentially particle of deviation an can has will be through this this part procedure to as the investigation considered the wrapping as merck isolated the filter only the is  contained vial closed   incident are filter from be gepco eady sources removed blue monitored the or QR ap the which supplier a identified closure,2019-10-31 00:00:00,509
comment this to support added addtional with attachment,2019-01-07 00:00:00,918
comments short confirmation that summary or QP been have required raised and closure in closure term see long the medium CAPAs,2021-01-11 00:00:00,509
communication deviation to which this considered isolated prevent with mode will of is impact update review completed no reoccurrence minor failure documentation QA failure,2020-11-24 00:00:00,830
compeleted,2020-07-15 00:00:00,920
compelte,2020-01-29 00:00:00,918
compelte actions,2020-11-19 00:00:00,918
compete,2020-01-20 00:00:00,918
compete,2019-08-23 00:00:00,920
compete,2020-07-13 00:00:00,920
compete actions,2020-01-03 00:00:00,918
compete investigation,2020-12-26 00:00:00,113
compete QA review,2021-01-12 00:00:00,830
competed,2020-10-15 00:00:00,918
competed,2020-06-22 00:00:00,920
competed CAPA,2019-03-06 00:00:00,113
competed investigations,2019-04-15 00:00:00,918
complaints with under dealt,2020-01-13 00:00:00,920
comple,2020-09-24 00:00:00,920
complet actions all,2020-06-18 00:00:00,113
completa,2020-09-16 00:00:00,920
completd actions,2020-12-15 00:00:00,918
complete  recommended review cj feb for  QA QP closure,2020-02-04 00:00:00,830
complete a review,2019-08-08 00:00:00,830
complete action,2020-06-08 00:00:00,113
complete action,2019-01-16 00:00:00,918
complete action,2019-04-04 00:00:00,918
complete action,2019-05-07 00:00:00,918
complete action,2019-07-04 00:00:00,918
complete action,2019-09-12 00:00:00,918
complete action,2019-10-23 00:00:00,918
complete action,2019-11-07 00:00:00,918
complete action,2019-11-24 00:00:00,918
complete action,2019-12-13 00:00:00,918
complete action,2019-12-15 00:00:00,918
complete action,2020-01-31 00:00:00,918
complete action,2020-02-10 00:00:00,918
complete action,2020-02-20 00:00:00,918
complete action,2020-03-02 00:00:00,918
complete action,2020-03-09 00:00:00,918
complete action,2020-03-20 00:00:00,918
complete action,2020-03-24 00:00:00,918
complete action,2020-05-08 00:00:00,918
complete action,2020-05-15 00:00:00,918
complete action,2020-07-28 00:00:00,918
complete action,2020-08-18 00:00:00,918
complete action,2020-09-03 00:00:00,918
complete action,2020-09-26 00:00:00,918
complete action,2020-10-05 00:00:00,918
complete action,2020-10-06 00:00:00,918
complete action,2020-10-13 00:00:00,918
complete action,2020-11-06 00:00:00,918
complete action,2020-11-07 00:00:00,918
complete action,2020-12-06 00:00:00,918
complete action,2020-12-15 00:00:00,918
complete action,2020-12-16 00:00:00,918
complete action,2020-12-17 00:00:00,918
complete action,2019-05-27 00:00:00,920
complete action,2019-11-14 00:00:00,920
complete action,2020-06-08 00:00:00,920
complete action remedial all,2019-10-23 00:00:00,918
complete actions,2019-11-12 00:00:00,113
complete actions,2020-02-19 00:00:00,113
complete actions,2020-05-11 00:00:00,113
complete actions,2020-07-02 00:00:00,113
complete actions,2020-09-25 00:00:00,113
complete actions,2020-09-27 00:00:00,113
complete actions,2019-01-02 00:00:00,918
complete actions,2019-01-03 00:00:00,918
complete actions,2019-01-04 00:00:00,918
complete actions,2019-01-06 00:00:00,918
complete actions,2019-01-08 00:00:00,918
complete actions,2019-01-10 00:00:00,918
complete actions,2019-01-14 00:00:00,918
complete actions,2019-01-15 00:00:00,918
complete actions,2019-01-19 00:00:00,918
complete actions,2019-01-20 00:00:00,918
complete actions,2019-01-21 00:00:00,918
complete actions,2019-01-22 00:00:00,918
complete actions,2019-01-23 00:00:00,918
complete actions,2019-01-25 00:00:00,918
complete actions,2019-01-29 00:00:00,918
complete actions,2019-02-04 00:00:00,918
complete actions,2019-02-05 00:00:00,918
complete actions,2019-02-06 00:00:00,918
complete actions,2019-02-08 00:00:00,918
complete actions,2019-02-14 00:00:00,918
complete actions,2019-02-17 00:00:00,918
complete actions,2019-02-18 00:00:00,918
complete actions,2019-02-26 00:00:00,918
complete actions,2019-02-27 00:00:00,918
complete actions,2019-03-05 00:00:00,918
complete actions,2019-03-06 00:00:00,918
complete actions,2019-03-08 00:00:00,918
complete actions,2019-03-19 00:00:00,918
complete actions,2019-03-21 00:00:00,918
complete actions,2019-03-28 00:00:00,918
complete actions,2019-04-04 00:00:00,918
complete actions,2019-04-06 00:00:00,918
complete actions,2019-04-12 00:00:00,918
complete actions,2019-04-15 00:00:00,918
complete actions,2019-04-21 00:00:00,918
complete actions,2019-04-22 00:00:00,918
complete actions,2019-05-05 00:00:00,918
complete actions,2019-05-06 00:00:00,918
complete actions,2019-05-08 00:00:00,918
complete actions,2019-05-14 00:00:00,918
complete actions,2019-05-15 00:00:00,918
complete actions,2019-05-23 00:00:00,918
complete actions,2019-05-24 00:00:00,918
complete actions,2019-05-25 00:00:00,918
complete actions,2019-05-29 00:00:00,918
complete actions,2019-05-31 00:00:00,918
complete actions,2019-06-06 00:00:00,918
complete actions,2019-06-10 00:00:00,918
complete actions,2019-06-15 00:00:00,918
complete actions,2019-06-16 00:00:00,918
complete actions,2019-06-19 00:00:00,918
complete actions,2019-06-20 00:00:00,918
complete actions,2019-06-24 00:00:00,918
complete actions,2019-06-27 00:00:00,918
complete actions,2019-06-30 00:00:00,918
complete actions,2019-07-01 00:00:00,918
complete actions,2019-07-08 00:00:00,918
complete actions,2019-07-09 00:00:00,918
complete actions,2019-07-10 00:00:00,918
complete actions,2019-07-12 00:00:00,918
complete actions,2019-07-16 00:00:00,918
complete actions,2019-07-17 00:00:00,918
complete actions,2019-07-20 00:00:00,918
complete actions,2019-07-22 00:00:00,918
complete actions,2019-07-25 00:00:00,918
complete actions,2019-08-12 00:00:00,918
complete actions,2019-09-02 00:00:00,918
complete actions,2019-09-12 00:00:00,918
complete actions,2019-09-17 00:00:00,918
complete actions,2019-09-18 00:00:00,918
complete actions,2019-09-21 00:00:00,918
complete actions,2019-09-23 00:00:00,918
complete actions,2019-09-25 00:00:00,918
complete actions,2019-09-30 00:00:00,918
complete actions,2019-10-05 00:00:00,918
complete actions,2019-10-08 00:00:00,918
complete actions,2019-10-09 00:00:00,918
complete actions,2019-10-10 00:00:00,918
complete actions,2019-10-14 00:00:00,918
complete actions,2019-10-16 00:00:00,918
complete actions,2019-10-18 00:00:00,918
complete actions,2019-10-21 00:00:00,918
complete actions,2019-10-22 00:00:00,918
complete actions,2019-10-24 00:00:00,918
complete actions,2019-11-08 00:00:00,918
complete actions,2019-11-13 00:00:00,918
complete actions,2019-11-14 00:00:00,918
complete actions,2019-11-15 00:00:00,918
complete actions,2019-11-18 00:00:00,918
complete actions,2019-11-20 00:00:00,918
complete actions,2019-11-29 00:00:00,918
complete actions,2019-12-03 00:00:00,918
complete actions,2019-12-07 00:00:00,918
complete actions,2019-12-10 00:00:00,918
complete actions,2019-12-11 00:00:00,918
complete actions,2019-12-19 00:00:00,918
complete actions,2020-01-11 00:00:00,918
complete actions,2020-01-15 00:00:00,918
complete actions,2020-01-17 00:00:00,918
complete actions,2020-01-18 00:00:00,918
complete actions,2020-01-23 00:00:00,918
complete actions,2020-01-28 00:00:00,918
complete actions,2020-01-30 00:00:00,918
complete actions,2020-02-02 00:00:00,918
complete actions,2020-02-07 00:00:00,918
complete actions,2020-02-08 00:00:00,918
complete actions,2020-02-09 00:00:00,918
complete actions,2020-02-10 00:00:00,918
complete actions,2020-02-12 00:00:00,918
complete actions,2020-02-15 00:00:00,918
complete actions,2020-02-19 00:00:00,918
complete actions,2020-02-27 00:00:00,918
complete actions,2020-03-03 00:00:00,918
complete actions,2020-03-09 00:00:00,918
complete actions,2020-03-13 00:00:00,918
complete actions,2020-03-18 00:00:00,918
complete actions,2020-03-21 00:00:00,918
complete actions,2020-03-25 00:00:00,918
complete actions,2020-04-04 00:00:00,918
complete actions,2020-04-10 00:00:00,918
complete actions,2020-04-15 00:00:00,918
complete actions,2020-04-17 00:00:00,918
complete actions,2020-04-29 00:00:00,918
complete actions,2020-05-01 00:00:00,918
complete actions,2020-05-05 00:00:00,918
complete actions,2020-05-06 00:00:00,918
complete actions,2020-05-08 00:00:00,918
complete actions,2020-05-11 00:00:00,918
complete actions,2020-05-13 00:00:00,918
complete actions,2020-05-18 00:00:00,918
complete actions,2020-05-19 00:00:00,918
complete actions,2020-05-21 00:00:00,918
complete actions,2020-05-25 00:00:00,918
complete actions,2020-05-29 00:00:00,918
complete actions,2020-06-02 00:00:00,918
complete actions,2020-06-09 00:00:00,918
complete actions,2020-06-10 00:00:00,918
complete actions,2020-06-16 00:00:00,918
complete actions,2020-06-17 00:00:00,918
complete actions,2020-06-21 00:00:00,918
complete actions,2020-06-23 00:00:00,918
complete actions,2020-06-26 00:00:00,918
complete actions,2020-07-01 00:00:00,918
complete actions,2020-07-02 00:00:00,918
complete actions,2020-07-03 00:00:00,918
complete actions,2020-07-10 00:00:00,918
complete actions,2020-07-20 00:00:00,918
complete actions,2020-07-24 00:00:00,918
complete actions,2020-07-28 00:00:00,918
complete actions,2020-08-08 00:00:00,918
complete actions,2020-08-13 00:00:00,918
complete actions,2020-08-29 00:00:00,918
complete actions,2020-09-10 00:00:00,918
complete actions,2020-09-11 00:00:00,918
complete actions,2020-09-13 00:00:00,918
complete actions,2020-09-15 00:00:00,918
complete actions,2020-09-16 00:00:00,918
complete actions,2020-09-21 00:00:00,918
complete actions,2020-09-27 00:00:00,918
complete actions,2020-09-30 00:00:00,918
complete actions,2020-11-12 00:00:00,918
complete actions,2020-11-14 00:00:00,918
complete actions,2020-11-20 00:00:00,918
complete actions,2020-11-22 00:00:00,918
complete actions,2020-11-24 00:00:00,918
complete actions,2020-11-25 00:00:00,918
complete actions,2020-11-28 00:00:00,918
complete actions,2020-11-29 00:00:00,918
complete actions,2020-12-16 00:00:00,918
complete actions,2020-12-17 00:00:00,918
complete actions,2020-12-25 00:00:00,918
complete actions,2020-12-30 00:00:00,918
complete actions,2021-01-04 00:00:00,918
complete actions,2021-01-14 00:00:00,918
complete actions,2020-04-09 00:00:00,920
complete actions all,2020-12-10 00:00:00,113
complete actions all,2019-03-05 00:00:00,918
complete actions comments  jan further today added see,2020-01-09 00:00:00,918
complete actions worrall j,2020-01-16 00:00:00,918
complete activities,2019-01-23 00:00:00,918
complete actons,2020-07-23 00:00:00,918
complete additional actions,2019-01-07 00:00:00,918
complete all actions,2020-08-20 00:00:00,918
complete all actions,2020-09-10 00:00:00,918
complete analysis and root investigation cause,2020-06-08 00:00:00,113
complete and CAPA required investigation raised as x,2020-10-28 00:00:00,113
complete and selections raised CAPA,2020-06-03 00:00:00,920
complete cap selection,2019-02-26 00:00:00,920
complete CAPA,2019-01-25 00:00:00,920
complete CAPA,2019-02-26 00:00:00,920
complete CAPA,2019-05-31 00:00:00,920
complete CAPA,2019-06-14 00:00:00,920
complete CAPA,2019-10-29 00:00:00,920
complete CAPA,2019-11-04 00:00:00,920
complete CAPA,2019-11-28 00:00:00,920
complete CAPA,2019-12-17 00:00:00,920
complete CAPA,2020-02-07 00:00:00,920
complete CAPA,2020-06-05 00:00:00,920
complete CAPA,2020-07-07 00:00:00,920
complete CAPA,2020-08-05 00:00:00,920
complete CAPA,2020-09-06 00:00:00,920
complete CAPA,2020-09-09 00:00:00,920
complete CAPA section,2019-10-22 00:00:00,920
complete CAPA section,2020-07-30 00:00:00,920
complete CAPA section,2020-11-10 00:00:00,920
complete CAPA selection,2019-01-03 00:00:00,920
complete CAPA selection,2019-01-08 00:00:00,920
complete CAPA selection,2019-02-20 00:00:00,920
complete CAPA selection,2019-03-11 00:00:00,920
complete CAPA selection,2019-04-13 00:00:00,920
complete CAPA selection,2019-04-26 00:00:00,920
complete CAPA selection,2019-05-03 00:00:00,920
complete CAPA selection,2019-05-06 00:00:00,920
complete CAPA selection,2019-05-09 00:00:00,920
complete CAPA selection,2019-05-25 00:00:00,920
complete CAPA selection,2019-06-04 00:00:00,920
complete CAPA selection,2019-06-17 00:00:00,920
complete CAPA selection,2019-06-26 00:00:00,920
complete CAPA selection,2019-06-30 00:00:00,920
complete CAPA selection,2019-07-08 00:00:00,920
complete CAPA selection,2019-07-16 00:00:00,920
complete CAPA selection,2019-07-25 00:00:00,920
complete CAPA selection,2019-08-20 00:00:00,920
complete CAPA selection,2019-09-20 00:00:00,920
complete CAPA selection,2019-10-04 00:00:00,920
complete CAPA selection,2019-11-21 00:00:00,920
complete CAPA selection,2019-12-02 00:00:00,920
complete CAPA selection,2019-12-10 00:00:00,920
complete CAPA selection,2019-12-18 00:00:00,920
complete CAPA selection,2020-01-07 00:00:00,920
complete CAPA selection,2020-01-11 00:00:00,920
complete CAPA selection,2020-01-23 00:00:00,920
complete CAPA selection,2020-02-24 00:00:00,920
complete CAPA selection,2020-02-25 00:00:00,920
complete CAPA selection,2020-03-10 00:00:00,920
complete CAPA selection,2020-03-16 00:00:00,920
complete CAPA selection,2020-03-23 00:00:00,920
complete CAPA selection,2020-03-27 00:00:00,920
complete CAPA selection,2020-04-02 00:00:00,920
complete CAPA selection,2020-04-09 00:00:00,920
complete CAPA selection,2020-05-07 00:00:00,920
complete CAPA selection,2020-06-10 00:00:00,920
complete CAPA selection,2020-07-03 00:00:00,920
complete CAPA selection,2020-07-13 00:00:00,920
complete CAPA selection,2020-08-12 00:00:00,920
complete CAPA selection,2020-08-13 00:00:00,920
complete CAPA selection,2020-08-19 00:00:00,920
complete CAPA selection,2020-08-25 00:00:00,920
complete CAPA selection,2020-08-26 00:00:00,920
complete CAPA selection,2020-11-06 00:00:00,920
complete CAPA selection,2020-12-01 00:00:00,920
complete CAPA selection,2020-12-15 00:00:00,920
complete CAPAs assigned,2019-11-19 00:00:00,113
complete cause actions and justification,2019-09-12 00:00:00,918
complete close and tubing of during silicon be ready particle tubing for closure isolated was event can deemed progressed product of notification degradation record leaking review record no is QP single tubing the use can a source of or processing used majority review,2020-03-12 00:00:00,509
complete closed delay deviation issue review without  can or sample be tested,2020-05-30 00:00:00,830
complete closure for deviation is recommended QA review,2020-12-16 00:00:00,830
complete closure progress QP QA review for,2020-12-22 00:00:00,830
complete closure QA summary,2019-09-09 00:00:00,830
complete closure review investigation and progressed for,2020-08-12 00:00:00,113
complete comments updated investigation,2020-04-03 00:00:00,113
complete complete error facts assessment human,2020-08-04 00:00:00,920
complete deviation accepted minor classification QA review as closed,2020-05-15 00:00:00,830
complete deviation QA ready identified record investigation review and raised for CAPA,2019-01-16 00:00:00,920
complete deviation QA required action no review closed further,2020-11-07 00:00:00,830
complete eview required QP closure,2019-12-17 00:00:00,509
complete for QA progressed be review to closure,2019-01-01 00:00:00,830
complete for QA review ready,2020-03-23 00:00:00,918
complete for QA review ready,2020-10-08 00:00:00,918
complete for ready and review review QP record closure a,2020-06-08 00:00:00,509
complete for review record review and closure ready QA QP,2020-05-07 00:00:00,830
complete from raised QA advice on  CAPA actions,2020-07-02 00:00:00,918
complete further any ap not heating jan rd impact product the expected assessment per as QA no are to is comment oos to have the quality qc adverse need have routine rd an testing product testing unless reported on additional results from,2019-01-04 00:00:00,830
complete i add work,2020-08-04 00:00:00,113
complete investiagtion,2019-11-19 00:00:00,113
complete investigation,2019-01-02 00:00:00,113
complete investigation,2019-01-03 00:00:00,113
complete investigation,2019-01-08 00:00:00,113
complete investigation,2019-01-11 00:00:00,113
complete investigation,2019-01-15 00:00:00,113
complete investigation,2019-01-21 00:00:00,113
complete investigation,2019-01-30 00:00:00,113
complete investigation,2019-01-31 00:00:00,113
complete investigation,2019-02-04 00:00:00,113
complete investigation,2019-02-08 00:00:00,113
complete investigation,2019-02-15 00:00:00,113
complete investigation,2019-02-18 00:00:00,113
complete investigation,2019-02-19 00:00:00,113
complete investigation,2019-02-26 00:00:00,113
complete investigation,2019-02-28 00:00:00,113
complete investigation,2019-03-05 00:00:00,113
complete investigation,2019-03-07 00:00:00,113
complete investigation,2019-03-11 00:00:00,113
complete investigation,2019-03-12 00:00:00,113
complete investigation,2019-03-14 00:00:00,113
complete investigation,2019-03-21 00:00:00,113
complete investigation,2019-03-26 00:00:00,113
complete investigation,2019-03-29 00:00:00,113
complete investigation,2019-04-09 00:00:00,113
complete investigation,2019-04-12 00:00:00,113
complete investigation,2019-04-16 00:00:00,113
complete investigation,2019-04-21 00:00:00,113
complete investigation,2019-04-25 00:00:00,113
complete investigation,2019-04-27 00:00:00,113
complete investigation,2019-04-29 00:00:00,113
complete investigation,2019-05-01 00:00:00,113
complete investigation,2019-05-02 00:00:00,113
complete investigation,2019-05-06 00:00:00,113
complete investigation,2019-05-08 00:00:00,113
complete investigation,2019-05-09 00:00:00,113
complete investigation,2019-05-10 00:00:00,113
complete investigation,2019-05-14 00:00:00,113
complete investigation,2019-05-16 00:00:00,113
complete investigation,2019-05-17 00:00:00,113
complete investigation,2019-05-23 00:00:00,113
complete investigation,2019-05-25 00:00:00,113
complete investigation,2019-05-27 00:00:00,113
complete investigation,2019-05-29 00:00:00,113
complete investigation,2019-06-05 00:00:00,113
complete investigation,2019-06-07 00:00:00,113
complete investigation,2019-06-09 00:00:00,113
complete investigation,2019-06-17 00:00:00,113
complete investigation,2019-06-19 00:00:00,113
complete investigation,2019-06-29 00:00:00,113
complete investigation,2019-07-02 00:00:00,113
complete investigation,2019-07-03 00:00:00,113
complete investigation,2019-07-07 00:00:00,113
complete investigation,2019-07-10 00:00:00,113
complete investigation,2019-07-11 00:00:00,113
complete investigation,2019-07-19 00:00:00,113
complete investigation,2019-07-22 00:00:00,113
complete investigation,2019-07-23 00:00:00,113
complete investigation,2019-07-24 00:00:00,113
complete investigation,2019-07-25 00:00:00,113
complete investigation,2019-08-09 00:00:00,113
complete investigation,2019-08-13 00:00:00,113
complete investigation,2019-08-28 00:00:00,113
complete investigation,2019-08-30 00:00:00,113
complete investigation,2019-09-04 00:00:00,113
complete investigation,2019-09-11 00:00:00,113
complete investigation,2019-09-12 00:00:00,113
complete investigation,2019-09-15 00:00:00,113
complete investigation,2019-09-20 00:00:00,113
complete investigation,2019-10-04 00:00:00,113
complete investigation,2019-10-13 00:00:00,113
complete investigation,2019-10-15 00:00:00,113
complete investigation,2019-10-16 00:00:00,113
complete investigation,2019-10-20 00:00:00,113
complete investigation,2019-10-22 00:00:00,113
complete investigation,2019-10-23 00:00:00,113
complete investigation,2019-10-27 00:00:00,113
complete investigation,2019-10-30 00:00:00,113
complete investigation,2019-11-01 00:00:00,113
complete investigation,2019-11-05 00:00:00,113
complete investigation,2019-11-07 00:00:00,113
complete investigation,2019-11-09 00:00:00,113
complete investigation,2019-11-12 00:00:00,113
complete investigation,2019-11-13 00:00:00,113
complete investigation,2019-11-14 00:00:00,113
complete investigation,2019-11-18 00:00:00,113
complete investigation,2019-11-20 00:00:00,113
complete investigation,2019-11-21 00:00:00,113
complete investigation,2019-11-22 00:00:00,113
complete investigation,2019-12-02 00:00:00,113
complete investigation,2019-12-03 00:00:00,113
complete investigation,2019-12-10 00:00:00,113
complete investigation,2019-12-17 00:00:00,113
complete investigation,2020-01-09 00:00:00,113
complete investigation,2020-01-10 00:00:00,113
complete investigation,2020-01-11 00:00:00,113
complete investigation,2020-01-16 00:00:00,113
complete investigation,2020-01-23 00:00:00,113
complete investigation,2020-01-24 00:00:00,113
complete investigation,2020-01-26 00:00:00,113
complete investigation,2020-01-27 00:00:00,113
complete investigation,2020-02-03 00:00:00,113
complete investigation,2020-02-10 00:00:00,113
complete investigation,2020-02-15 00:00:00,113
complete investigation,2020-02-24 00:00:00,113
complete investigation,2020-02-27 00:00:00,113
complete investigation,2020-03-03 00:00:00,113
complete investigation,2020-03-04 00:00:00,113
complete investigation,2020-03-06 00:00:00,113
complete investigation,2020-03-10 00:00:00,113
complete investigation,2020-03-12 00:00:00,113
complete investigation,2020-03-13 00:00:00,113
complete investigation,2020-03-27 00:00:00,113
complete investigation,2020-03-31 00:00:00,113
complete investigation,2020-04-02 00:00:00,113
complete investigation,2020-04-03 00:00:00,113
complete investigation,2020-04-08 00:00:00,113
complete investigation,2020-04-10 00:00:00,113
complete investigation,2020-04-12 00:00:00,113
complete investigation,2020-04-16 00:00:00,113
complete investigation,2020-04-22 00:00:00,113
complete investigation,2020-04-23 00:00:00,113
complete investigation,2020-04-29 00:00:00,113
complete investigation,2020-05-06 00:00:00,113
complete investigation,2020-05-07 00:00:00,113
complete investigation,2020-05-12 00:00:00,113
complete investigation,2020-05-13 00:00:00,113
complete investigation,2020-05-16 00:00:00,113
complete investigation,2020-05-21 00:00:00,113
complete investigation,2020-05-28 00:00:00,113
complete investigation,2020-05-29 00:00:00,113
complete investigation,2020-06-26 00:00:00,113
complete investigation,2020-07-03 00:00:00,113
complete investigation,2020-07-05 00:00:00,113
complete investigation,2020-07-06 00:00:00,113
complete investigation,2020-07-08 00:00:00,113
complete investigation,2020-07-11 00:00:00,113
complete investigation,2020-07-13 00:00:00,113
complete investigation,2020-07-14 00:00:00,113
complete investigation,2020-07-16 00:00:00,113
complete investigation,2020-07-28 00:00:00,113
complete investigation,2020-07-30 00:00:00,113
complete investigation,2020-08-05 00:00:00,113
complete investigation,2020-08-07 00:00:00,113
complete investigation,2020-08-13 00:00:00,113
complete investigation,2020-08-19 00:00:00,113
complete investigation,2020-08-25 00:00:00,113
complete investigation,2020-08-27 00:00:00,113
complete investigation,2020-08-28 00:00:00,113
complete investigation,2020-08-31 00:00:00,113
complete investigation,2020-09-03 00:00:00,113
complete investigation,2020-09-06 00:00:00,113
complete investigation,2020-09-09 00:00:00,113
complete investigation,2020-09-11 00:00:00,113
complete investigation,2020-09-13 00:00:00,113
complete investigation,2020-09-14 00:00:00,113
complete investigation,2020-10-22 00:00:00,113
complete investigation,2020-10-26 00:00:00,113
complete investigation,2020-11-02 00:00:00,113
complete investigation,2020-11-11 00:00:00,113
complete investigation,2020-11-18 00:00:00,113
complete investigation,2020-11-25 00:00:00,113
complete investigation,2020-11-26 00:00:00,113
complete investigation,2020-11-29 00:00:00,113
complete investigation,2020-12-14 00:00:00,113
complete investigation,2020-12-15 00:00:00,113
complete investigation,2020-12-16 00:00:00,113
complete investigation,2021-01-06 00:00:00,113
complete investigation,2021-01-11 00:00:00,113
complete investigation,2021-01-13 00:00:00,113
complete investigation,2019-02-28 00:00:00,918
complete investigation,2019-03-18 00:00:00,918
complete investigation,2019-07-17 00:00:00,918
complete investigation,2019-09-02 00:00:00,918
complete investigation,2019-09-06 00:00:00,918
complete investigation,2020-02-10 00:00:00,918
complete investigation,2020-02-25 00:00:00,918
complete investigation,2020-03-20 00:00:00,918
complete investigation,2020-03-30 00:00:00,918
complete investigation,2020-03-31 00:00:00,918
complete investigation,2020-04-13 00:00:00,918
complete investigation,2020-04-15 00:00:00,918
complete investigation,2020-05-19 00:00:00,918
complete investigation,2020-05-22 00:00:00,918
complete investigation,2020-05-27 00:00:00,918
complete investigation,2020-05-29 00:00:00,918
complete investigation,2020-06-02 00:00:00,918
complete investigation,2020-09-17 00:00:00,918
complete investigation,2020-10-09 00:00:00,918
complete investigation,2020-10-14 00:00:00,918
complete investigation,2020-04-23 00:00:00,920
complete investigation,2020-09-08 00:00:00,920
complete investigation change number control added,2019-07-05 00:00:00,113
complete investigation details,2019-11-13 00:00:00,113
complete investigation submit QA to,2019-04-02 00:00:00,113
complete investigations,2020-03-03 00:00:00,918
complete investigations,2020-04-15 00:00:00,918
complete investigations,2020-04-30 00:00:00,918
complete invstigations,2019-07-11 00:00:00,113
